City, State, Lat, Long 
Amri,Assam, 26.186085, 93.5812692
Amri,Assam, 26.186085, 93.5812692
Amri,Assam, 26.186085, 93.5812692
Baulagog,Assam, 26.076393, 92.326004
Beltola,Assam, 26.1299856, 91.7992658
Amguri,Assam, 26.8101683, 94.5237707
Ouguri,Assam, 26.6396025, 90.53287209999999
Pumakunchi,Assam, 26.01458, 92.360939
Amserli,Assam, 26.061377, 92.318573
Lembra,Assam, 26.022476, 92.31778
Rakhui Hidi,Assam, 26.020428, 92.352363
Keng Abat,Assam, 26.0052549, 92.37746399999999
Sinari Roman,Assam, 26.075157, 92.44026199999999
Amduba,Assam, 26.066172, 92.472893
Kumrai Khura,Assam, 26.094748, 92.485962
Hadau,Assam, 25.968046, 92.28643799999999
Bogajamin,Assam, 26.015322, 92.38565799999999
Tharakunchi,Assam, 26.008169, 92.307068
Mugaguri,Assam, 25.977709, 92.365387
Silangkunchi,Assam, 25.998402, 92.304108
Uthankunchi,Assam, 26.013207, 92.33279399999999
Langerdang,Assam, 25.978224, 92.433922
Phutsari,Assam, 25.99284, 92.430908
Khaplang Kunchi,Assam, 25.983118, 92.42247
Roman Marjong,Assam, 25.955729, 92.425202
Umswai,Assam, 25.932285, 92.444183
Lang Arkhon(Umswai),Assam, 25.932285, 92.444183
Chidamakha,Assam, 25.922472, 92.40580790000001
Amsubra,Assam, 25.970888, 92.411087
Umlata-Ap,Assam, 25.965542, 92.42845899999999
Umswai Langdo(Lalung),Assam, 25.9276899, 92.4381329
Marjong Lalung,Assam, 25.94282, 92.411171
Marjong,Assam, 26.063149, 92.51570099999999
Rapadang,Assam, 25.929155, 92.425613
Pantalo,Assam, 25.941284, 92.4448929
Mokaba,Assam, None
Moroh,Assam, 25.920427, 92.445015
Denghar,Assam, 25.681473, 92.49676500000001
Umseneng(Maolen),Assam, 25.696627, 92.495262
Khon Amkha,Assam, 25.934217, 92.344139
Mokoidharam,Assam, 25.99398, 92.49797799999999
Umjiri,Assam, None
Um-Hi,Assam, 25.965557, 92.340828
Langhanjar(Phangeho),Assam, None
Rongchek,Assam, 25.872484, 92.49134099999999
Umpanai Dukan,Assam, 25.937366, 92.33247399999999
Birsingki,Assam, 25.953114, 92.351608
Umsamukh,Assam, 25.911469, 92.358482
Umbormon,Assam, 25.924345, 92.3375715
Mubai,Assam, None
Singkung,Assam, 25.928753, 92.34915199999999
Ullukuachi,Assam, None
Umkasi,Assam, 25.960354, 92.35681199999999
Maslai Kunchi,Assam, None
Harba-Sa,Assam, 25.982054, 92.373222
Rongchirim,Assam, 25.711504, 92.48529099999999
